video_id,true_label,pred_label
135122,Rolling Hand Backward,Rolling Hand Forward
80466,Turning Hand Clockwise,Zooming In With Full Hand
62294,Pulling Two Fingers In,Rolling Hand Backward
59335,Thumb Down,No gesture
27007,Swiping Up,Pulling Hand In
91357,Swiping Up,Swiping Down
143213,Shaking Hand,Turning Hand Clockwise
47505,Shaking Hand,Swiping Right
78261,Zooming In With Two Fingers,Zooming In With Full Hand
46184,Sliding Two Fingers Left,No gesture
17734,Rolling Hand Forward,Zooming In With Two Fingers
135054,Thumb Up,Doing other things
143080,Rolling Hand Backward,Rolling Hand Forward
10067,Turning Hand Counterclockwise,Turning Hand Clockwise
114624,Shaking Hand,Turning Hand Clockwise
42849,Zooming Out With Full Hand,Shaking Hand
42771,Zooming Out With Full Hand,Sliding Two Fingers Left
115988,Zooming Out With Full Hand,Zooming In With Full Hand
135721,Pulling Hand In,Doing other things
56173,Swiping Down,Sliding Two Fingers Down
22497,Shaking Hand,Drumming Fingers
51585,Pushing Two Fingers Away,Zooming Out With Two Fingers
87169,Sliding Two Fingers Up,Turning Hand Clockwise
115533,Sliding Two Fingers Right,Rolling Hand Backward
134954,Swiping Right,Swiping Left
38534,Doing other things,Swiping Left
114568,Doing other things,Thumb Down
450,Rolling Hand Forward,Rolling Hand Backward
127639,Zooming Out With Two Fingers,No gesture
26162,Sliding Two Fingers Down,No gesture
109623,Pulling Two Fingers In,Doing other things
25301,Zooming Out With Two Fingers,Zooming In With Two Fingers
122523,Zooming In With Full Hand,Stop Sign
40554,Zooming Out With Two Fingers,Sliding Two Fingers Right
90725,Zooming In With Two Fingers,Zooming In With Full Hand
54480,Pushing Hand Away,Swiping Down
97406,Doing other things,Swiping Down
43541,Swiping Right,Sliding Two Fingers Right
120695,Pulling Two Fingers In,Doing other things
6171,Doing other things,Swiping Left
10575,Zooming Out With Full Hand,No gesture
52108,Stop Sign,Pushing Hand Away
43905,Pulling Hand In,Swiping Right
62933,Pulling Hand In,Pulling Two Fingers In
112133,Sliding Two Fingers Left,Swiping Left
72537,Doing other things,No gesture
141358,Stop Sign,Zooming Out With Full Hand
78238,Swiping Right,No gesture
23305,Pushing Hand Away,Stop Sign
33594,Turning Hand Counterclockwise,Swiping Up
19019,Sliding Two Fingers Up,Sliding Two Fingers Right
109415,Turning Hand Counterclockwise,Turning Hand Clockwise
85230,Swiping Right,Rolling Hand Backward
87963,Doing other things,Thumb Up
75302,Thumb Down,Zooming Out With Two Fingers
110769,Pulling Hand In,Swiping Up
147103,No gesture,Doing other things
26490,Zooming Out With Two Fingers,Zooming In With Two Fingers
38644,Swiping Left,No gesture
10767,Doing other things,Turning Hand Clockwise
119479,Sliding Two Fingers Up,Sliding Two Fingers Down
116920,No gesture,Doing other things
27776,Shaking Hand,Turning Hand Clockwise
63369,Sliding Two Fingers Down,Zooming Out With Two Fingers
8370,Rolling Hand Forward,Rolling Hand Backward
103244,Turning Hand Clockwise,Turning Hand Counterclockwise
140185,Swiping Right,Sliding Two Fingers Right
60557,Swiping Up,Swiping Left
108881,Turning Hand Counterclockwise,Zooming Out With Full Hand
135589,Sliding Two Fingers Up,Sliding Two Fingers Down
102854,Pulling Hand In,Swiping Down
60476,Doing other things,No gesture
18572,Sliding Two Fingers Down,Pushing Two Fingers Away
63554,Swiping Up,Pulling Hand In
328,Zooming Out With Two Fingers,Doing other things
90971,Sliding Two Fingers Up,Sliding Two Fingers Down
23617,Swiping Right,Sliding Two Fingers Right
75396,Turning Hand Clockwise,Turning Hand Counterclockwise
59784,Doing other things,Turning Hand Clockwise
20955,Zooming Out With Two Fingers,No gesture
110036,Turning Hand Clockwise,Turning Hand Counterclockwise
104443,Zooming In With Two Fingers,Doing other things
56149,Rolling Hand Forward,Rolling Hand Backward
5295,Zooming Out With Two Fingers,Zooming In With Two Fingers
129051,Shaking Hand,Zooming Out With Two Fingers
64924,Turning Hand Counterclockwise,Turning Hand Clockwise
139536,Swiping Down,Pushing Hand Away
99489,Sliding Two Fingers Down,Pushing Two Fingers Away
41703,Shaking Hand,No gesture
111628,Turning Hand Clockwise,Turning Hand Counterclockwise
70775,Doing other things,No gesture
112758,Swiping Down,Thumb Down
77271,Shaking Hand,Pushing Hand Away
138928,Pushing Two Fingers Away,Sliding Two Fingers Down
64436,Swiping Up,Pulling Hand In
119937,Zooming Out With Full Hand,Shaking Hand
99035,No gesture,Doing other things
141727,Pushing Two Fingers Away,Sliding Two Fingers Up
9035,Thumb Up,Doing other things
126834,Pushing Hand Away,Sliding Two Fingers Down
13822,Pulling Hand In,Swiping Up
971,Zooming In With Full Hand,Zooming In With Two Fingers
46223,Sliding Two Fingers Down,Sliding Two Fingers Up
8723,Doing other things,Sliding Two Fingers Right
27987,Doing other things,Thumb Up
138160,Swiping Right,Swiping Left
81924,Sliding Two Fingers Down,Swiping Down
108012,Shaking Hand,Zooming In With Full Hand
38622,Sliding Two Fingers Down,No gesture
14326,Turning Hand Clockwise,Turning Hand Counterclockwise
83913,Swiping Down,Doing other things
73765,Doing other things,Turning Hand Counterclockwise
55802,Rolling Hand Forward,Rolling Hand Backward
88286,Doing other things,Zooming Out With Two Fingers
113031,Pushing Hand Away,Stop Sign
82920,Drumming Fingers,Turning Hand Clockwise
136423,Swiping Right,Swiping Left
147321,Pushing Hand Away,Stop Sign
134616,Sliding Two Fingers Down,Swiping Down
108756,Pulling Hand In,Swiping Up
115885,Doing other things,No gesture
117081,Swiping Down,Pushing Hand Away
28758,Turning Hand Clockwise,Turning Hand Counterclockwise
8506,Sliding Two Fingers Left,No gesture
129467,Turning Hand Clockwise,Pushing Two Fingers Away
38138,Doing other things,Pulling Hand In
145343,Pushing Two Fingers Away,Pushing Hand Away
80049,Swiping Up,Pulling Hand In
133291,Sliding Two Fingers Up,Pushing Two Fingers Away
72590,Zooming Out With Full Hand,Doing other things
101827,Pushing Two Fingers Away,Doing other things
54412,Swiping Up,Pulling Hand In
10490,Pulling Hand In,Swiping Up
101142,Sliding Two Fingers Right,Swiping Down
134782,Swiping Up,Rolling Hand Backward
52385,Sliding Two Fingers Left,No gesture
29285,Swiping Right,Sliding Two Fingers Left
44865,Sliding Two Fingers Right,Swiping Right
63880,Sliding Two Fingers Up,Pulling Two Fingers In
116882,Zooming Out With Full Hand,Rolling Hand Forward
96094,Pushing Two Fingers Away,Sliding Two Fingers Down
80310,Swiping Down,Swiping Left
89726,No gesture,Doing other things
76289,Doing other things,Zooming Out With Two Fingers
36746,Sliding Two Fingers Up,Doing other things
43498,No gesture,Doing other things
31874,Stop Sign,Pushing Hand Away
137475,Swiping Right,No gesture
54689,Pulling Hand In,No gesture
15986,Swiping Up,Sliding Two Fingers Up
101382,Swiping Up,Pulling Hand In
18559,Zooming Out With Two Fingers,Zooming In With Two Fingers
51311,Rolling Hand Backward,Zooming In With Full Hand
101404,Swiping Up,Swiping Right
79010,Sliding Two Fingers Left,No gesture
146672,Swiping Right,Sliding Two Fingers Right
16073,Pushing Two Fingers Away,Pulling Two Fingers In
17869,Zooming Out With Full Hand,Zooming In With Full Hand
95101,Rolling Hand Forward,Rolling Hand Backward
2846,Sliding Two Fingers Right,No gesture
8664,Sliding Two Fingers Down,No gesture
56524,Swiping Left,Sliding Two Fingers Left
18371,Pushing Hand Away,Stop Sign
97029,Turning Hand Clockwise,Turning Hand Counterclockwise
5276,Zooming Out With Full Hand,Zooming In With Two Fingers
52882,Thumb Up,Swiping Up
23286,No gesture,Doing other things
8169,Swiping Left,Swiping Right
34413,Thumb Up,Sliding Two Fingers Left
47222,Swiping Down,Sliding Two Fingers Down
7726,Zooming Out With Full Hand,Zooming Out With Two Fingers
68328,Stop Sign,Pushing Hand Away
85588,Pulling Hand In,Pushing Hand Away
92947,Sliding Two Fingers Right,No gesture
40728,Pulling Hand In,Swiping Up
39880,Rolling Hand Forward,Rolling Hand Backward
70551,Pushing Hand Away,Swiping Left
103303,Rolling Hand Forward,Rolling Hand Backward
107172,Rolling Hand Forward,Rolling Hand Backward
30763,Doing other things,No gesture
47878,Doing other things,Sliding Two Fingers Up
38201,Zooming In With Two Fingers,Zooming Out With Two Fingers
35223,Swiping Left,Pulling Hand In
132553,Swiping Down,Swiping Left
109861,Swiping Down,Stop Sign
51207,Doing other things,Rolling Hand Backward
103202,Turning Hand Counterclockwise,Shaking Hand
82970,Doing other things,No gesture
72893,Turning Hand Clockwise,Turning Hand Counterclockwise
63439,Sliding Two Fingers Down,Pulling Two Fingers In
67954,Swiping Down,Sliding Two Fingers Up
39805,Thumb Up,Zooming In With Two Fingers
95465,Doing other things,No gesture
20423,Zooming In With Full Hand,Zooming Out With Full Hand
89194,Sliding Two Fingers Up,Sliding Two Fingers Down
82252,Zooming In With Two Fingers,Zooming In With Full Hand
31911,Doing other things,No gesture
52696,Rolling Hand Backward,Rolling Hand Forward
95745,Zooming Out With Full Hand,Zooming In With Full Hand
260,Sliding Two Fingers Right,No gesture
28059,Sliding Two Fingers Down,Sliding Two Fingers Up
70640,Turning Hand Counterclockwise,Turning Hand Clockwise
83250,Doing other things,Sliding Two Fingers Down
80982,Swiping Down,No gesture
140199,Doing other things,Rolling Hand Backward
145730,Zooming Out With Two Fingers,Doing other things
103594,Pushing Two Fingers Away,Sliding Two Fingers Up
59362,Doing other things,Swiping Left
77388,Swiping Up,Pulling Hand In
7817,Sliding Two Fingers Down,Sliding Two Fingers Up
104582,Turning Hand Clockwise,Turning Hand Counterclockwise
23828,Zooming In With Two Fingers,Zooming In With Full Hand
104907,Rolling Hand Backward,Rolling Hand Forward
147381,Pulling Hand In,Rolling Hand Backward
129904,Swiping Right,Swiping Left
108454,Sliding Two Fingers Up,Sliding Two Fingers Down
126679,No gesture,Thumb Up
82959,Zooming In With Full Hand,Zooming In With Two Fingers
106945,Pushing Hand Away,Swiping Down
57251,Stop Sign,Pushing Hand Away
97758,Swiping Up,No gesture
16279,Stop Sign,Zooming In With Full Hand
134149,Sliding Two Fingers Right,Zooming Out With Two Fingers
66218,Sliding Two Fingers Down,No gesture
26635,Doing other things,Shaking Hand
129678,Zooming Out With Full Hand,Swiping Left
8474,Turning Hand Counterclockwise,Turning Hand Clockwise
44822,Sliding Two Fingers Down,Swiping Down
95937,Pulling Hand In,Swiping Up
129627,Turning Hand Clockwise,Swiping Up
100930,Sliding Two Fingers Left,No gesture
65888,Swiping Down,Turning Hand Clockwise
122309,Zooming Out With Full Hand,Zooming In With Full Hand
48807,Sliding Two Fingers Left,Swiping Left
95855,Rolling Hand Forward,Rolling Hand Backward
109282,Swiping Down,No gesture
65679,Swiping Up,Pulling Hand In
36596,Thumb Down,Zooming In With Two Fingers
68691,Sliding Two Fingers Up,Sliding Two Fingers Left
106620,Stop Sign,Pushing Hand Away
112401,Turning Hand Clockwise,Turning Hand Counterclockwise
76374,Zooming In With Two Fingers,Zooming In With Full Hand
54444,Sliding Two Fingers Up,Doing other things
74925,Shaking Hand,Pushing Hand Away
87421,Shaking Hand,Zooming Out With Full Hand
42228,Zooming Out With Full Hand,Swiping Down
97973,Pulling Hand In,Pushing Hand Away
59059,Sliding Two Fingers Up,Sliding Two Fingers Down
124274,Turning Hand Counterclockwise,Turning Hand Clockwise
29588,Doing other things,Pulling Two Fingers In
89729,Turning Hand Clockwise,Turning Hand Counterclockwise
73333,Sliding Two Fingers Down,Zooming In With Two Fingers
139743,No gesture,Swiping Right
88096,Sliding Two Fingers Down,No gesture
126665,Sliding Two Fingers Down,Sliding Two Fingers Up
128120,Zooming In With Two Fingers,Swiping Right
88971,Doing other things,No gesture
90321,Zooming In With Two Fingers,Zooming In With Full Hand
101194,Sliding Two Fingers Up,Sliding Two Fingers Down
39740,Sliding Two Fingers Up,Swiping Up
86818,Swiping Left,No gesture
25024,Turning Hand Clockwise,Turning Hand Counterclockwise
66777,Doing other things,Swiping Left
79772,Swiping Right,Sliding Two Fingers Left
123424,Zooming Out With Full Hand,Zooming In With Full Hand
67467,Turning Hand Clockwise,Turning Hand Counterclockwise
140206,Shaking Hand,Zooming In With Full Hand
97638,Turning Hand Clockwise,Turning Hand Counterclockwise
42862,Rolling Hand Forward,Rolling Hand Backward
32055,Thumb Down,No gesture
100214,Doing other things,Thumb Down
54103,Pushing Two Fingers Away,Sliding Two Fingers Up
41710,Zooming In With Two Fingers,Zooming In With Full Hand
82567,Swiping Down,Pushing Hand Away
75594,Rolling Hand Forward,Doing other things
114950,Turning Hand Clockwise,Turning Hand Counterclockwise
39904,Doing other things,Swiping Down
140609,Doing other things,Stop Sign
61482,Zooming Out With Two Fingers,Zooming In With Two Fingers
10060,Turning Hand Clockwise,Turning Hand Counterclockwise
83138,Sliding Two Fingers Down,Sliding Two Fingers Up
136540,Swiping Right,Doing other things
5568,Swiping Up,Pulling Hand In
52279,Doing other things,Zooming Out With Two Fingers
87155,Swiping Right,No gesture
111288,Shaking Hand,Stop Sign
6561,Swiping Up,Sliding Two Fingers Left
83780,Pushing Two Fingers Away,Sliding Two Fingers Down
33969,Shaking Hand,Turning Hand Clockwise
96627,Rolling Hand Forward,Rolling Hand Backward
65725,Doing other things,Shaking Hand
46035,Shaking Hand,Swiping Left
96475,Thumb Down,Swiping Left
44422,Shaking Hand,Zooming Out With Full Hand
85991,Doing other things,Sliding Two Fingers Right
57828,Rolling Hand Backward,Rolling Hand Forward
105764,Doing other things,Zooming Out With Two Fingers
19066,Sliding Two Fingers Up,Sliding Two Fingers Down
25313,Doing other things,Swiping Left
84479,Sliding Two Fingers Up,Sliding Two Fingers Down
70833,Swiping Down,No gesture
63767,Sliding Two Fingers Up,No gesture
96158,Swiping Left,Sliding Two Fingers Left
37962,Turning Hand Clockwise,Swiping Right
57381,Pushing Two Fingers Away,Sliding Two Fingers Up
73036,Turning Hand Counterclockwise,Turning Hand Clockwise
132560,Shaking Hand,Turning Hand Clockwise
70327,Pushing Two Fingers Away,Sliding Two Fingers Up
18574,Zooming Out With Two Fingers,Doing other things
7733,Doing other things,No gesture
77313,Zooming In With Two Fingers,Zooming Out With Two Fingers
103942,Sliding Two Fingers Up,Pulling Two Fingers In
34079,Rolling Hand Backward,Rolling Hand Forward
19201,Pulling Hand In,Doing other things
6194,Rolling Hand Forward,Doing other things
102033,Turning Hand Counterclockwise,Turning Hand Clockwise
58694,Pushing Two Fingers Away,Sliding Two Fingers Right
99436,Turning Hand Counterclockwise,Turning Hand Clockwise
63744,Swiping Left,Sliding Two Fingers Left
61559,Pulling Two Fingers In,Swiping Up
103044,Swiping Up,Doing other things
9232,Zooming Out With Full Hand,Pushing Hand Away
25390,Pushing Two Fingers Away,Pulling Two Fingers In
80708,Turning Hand Clockwise,Turning Hand Counterclockwise
127226,Stop Sign,Pushing Hand Away
23981,Sliding Two Fingers Right,Swiping Right
73318,Rolling Hand Forward,No gesture
114080,Doing other things,Pulling Two Fingers In
144696,Swiping Left,No gesture
116846,Swiping Left,Doing other things
31302,Swiping Up,Doing other things
113548,Thumb Down,Doing other things
76190,Zooming Out With Two Fingers,Doing other things
25524,Sliding Two Fingers Up,Pulling Two Fingers In
122443,Rolling Hand Forward,Rolling Hand Backward
75262,Stop Sign,Pushing Hand Away
55604,Turning Hand Clockwise,Pushing Hand Away
55451,Sliding Two Fingers Up,Zooming Out With Two Fingers
132424,Zooming In With Full Hand,Zooming Out With Full Hand
53088,Doing other things,Zooming In With Full Hand
122588,Sliding Two Fingers Down,Swiping Down
98933,Swiping Up,Pushing Two Fingers Away
25356,Rolling Hand Backward,Rolling Hand Forward
79999,Pushing Two Fingers Away,Swiping Down
138230,Turning Hand Counterclockwise,Turning Hand Clockwise
75921,Pulling Two Fingers In,Zooming In With Two Fingers
90263,Zooming Out With Full Hand,Zooming Out With Two Fingers
33701,Swiping Left,Swiping Down
82845,Shaking Hand,Swiping Down
8498,Sliding Two Fingers Right,No gesture
134158,Turning Hand Counterclockwise,Shaking Hand
120721,Swiping Up,Sliding Two Fingers Up
90432,Zooming In With Two Fingers,Zooming Out With Two Fingers
113358,Swiping Left,Swiping Right
49390,Sliding Two Fingers Left,Swiping Left
23190,Zooming In With Two Fingers,Doing other things
25983,Shaking Hand,Zooming In With Full Hand
121431,Sliding Two Fingers Down,Swiping Right
126840,Zooming In With Full Hand,Thumb Down
146675,Doing other things,No gesture
101862,Sliding Two Fingers Up,Sliding Two Fingers Down
96230,Pulling Two Fingers In,No gesture
30700,Swiping Down,No gesture
88861,Sliding Two Fingers Down,Swiping Down
6121,Stop Sign,Pushing Hand Away
141780,Sliding Two Fingers Right,Swiping Right
71335,Swiping Up,Pulling Hand In
56932,Swiping Left,Sliding Two Fingers Left
11027,Doing other things,Thumb Up
58907,Pulling Hand In,Stop Sign
82589,Swiping Left,Pulling Hand In
96236,Sliding Two Fingers Up,Sliding Two Fingers Down
76394,Sliding Two Fingers Down,Sliding Two Fingers Up
140208,Rolling Hand Backward,Rolling Hand Forward
119273,Stop Sign,Pushing Hand Away
74536,Shaking Hand,Drumming Fingers
47961,Swiping Down,Swiping Left
126732,No gesture,Doing other things
15493,Turning Hand Counterclockwise,Turning Hand Clockwise
76947,Swiping Up,Pulling Hand In
143600,Swiping Left,Swiping Right
138532,Shaking Hand,Turning Hand Counterclockwise
19008,Turning Hand Clockwise,Turning Hand Counterclockwise
42760,Shaking Hand,Zooming In With Full Hand
81249,No gesture,Doing other things
110046,Stop Sign,Pushing Hand Away
109740,Swiping Left,Doing other things
111344,Swiping Down,Swiping Right
29964,Zooming In With Full Hand,Stop Sign
35500,Swiping Right,Swiping Left
10718,Pushing Hand Away,Stop Sign
103383,Sliding Two Fingers Down,Sliding Two Fingers Up
120054,Stop Sign,Pushing Hand Away
72102,Sliding Two Fingers Up,Swiping Down
68477,Doing other things,No gesture
102902,Turning Hand Counterclockwise,Turning Hand Clockwise
143824,Zooming Out With Two Fingers,Thumb Down
99717,Swiping Left,Zooming In With Full Hand
133885,Swiping Right,Sliding Two Fingers Right
26818,Doing other things,Thumb Down
53244,Turning Hand Clockwise,Turning Hand Counterclockwise
34323,Doing other things,Zooming Out With Two Fingers
143334,Zooming Out With Full Hand,Zooming Out With Two Fingers
15175,Swiping Up,Swiping Down
66982,Stop Sign,Pushing Hand Away
26249,Swiping Down,Sliding Two Fingers Down
6528,Turning Hand Counterclockwise,Turning Hand Clockwise
142263,Swiping Down,Swiping Up
88176,Sliding Two Fingers Right,Swiping Right
6734,Rolling Hand Backward,Rolling Hand Forward
124670,Pushing Hand Away,Stop Sign
57830,Sliding Two Fingers Left,Swiping Left
12590,Rolling Hand Forward,Rolling Hand Backward
31708,Pushing Hand Away,Zooming Out With Full Hand
141839,Doing other things,No gesture
